                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.2384,                0.04523,                0.11746,                0.73187,                 1.0477,                0.56697,                 0.6875,                0.69417,                0.40076,                0.85085,                    0.5,                0.72899,                0.72339,                 1.5577,                0.10151,                0.04108,                 1.4587,                 1.3295,               0.001406,               0.001406,               0.001406
                     33,                 1.2387,                0.04259,                0.06564,                0.86835,                 1.0568,                0.74382,                  0.625,                0.67035,                0.36627,                0.78012,                 0.6663,                0.77715,                0.76794,                 1.6455,                0.10122,                0.04451,                 1.3552,                 1.3534,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1698,                0.04987,                0.07527,                0.77848,                 1.0014,                 0.9253,                 0.6875,                0.83842,                0.47651,                 0.9253,                 0.6875,                0.86421,                0.84735,                 1.5873,                0.10548,                 0.0274,                 1.1237,                 1.3689,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1008,                0.04852,                0.05102,                0.77398,                 1.0242,                0.97087,                   0.75,                0.89234,                0.50067,                      1,                0.80084,                0.93447,                0.87171,                 1.5447,                0.12955,                0.02298,                0.95811,                 1.3478,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1072,                 0.0582,                 0.0944,                0.76269,                0.97201,                0.86083,                 0.8125,                0.88429,                0.48924,                0.93036,                  0.875,                0.93674,                 0.8577,                 1.5534,                0.13403,                0.02521,                 0.9402,                 1.3642,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1658,                0.04256,                0.05884,                0.75901,                0.99524,                0.78049,                 0.6875,                 0.7639,                0.43983,                0.83063,                  0.875,                0.90052,                0.83059,                 1.6273,                0.13559,                0.03962,                 1.0151,                 1.3978,               0.001307,               0.001307,               0.001307
                     38,                 1.1141,                0.03135,                0.07367,                 0.6989,                 1.0128,                0.94562,                  0.625,                0.79242,                0.46421,                0.80406,                 0.8125,                 0.8768,                0.82174,                 1.5898,                0.13325,                 0.0704,                 1.1545,                 1.3827,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2066,                0.04119,                0.09303,                0.88622,                 1.0351,                0.66129,                   0.75,                 0.7077,                0.44041,                0.73367,                0.86142,                0.80296,                0.75754,                 1.5245,                 0.1142,                0.07101,                 1.1397,                 1.3367,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1127,                0.04642,                0.19324,                0.74029,                0.98674,                0.78163,                0.67201,                0.77591,                0.48573,                0.85436,                0.73416,                0.85852,                0.81948,                 1.4396,                0.09309,                0.04386,                 1.1423,                 1.2391,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1344,                0.03942,                0.05528,                0.72278,                0.97642,                 0.9774,                  0.625,                0.82751,                0.46294,                0.90152,                   0.75,                 0.8702,                0.85533,                 1.5182,                0.07717,                0.03436,                 1.1899,                 1.2588,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2006,                0.04649,                0.05087,                0.74942,                0.98176,                0.98423,                  0.625,                0.83044,                0.48687,                0.85794,                 0.8125,                0.86158,                0.85874,                 1.5976,                0.07392,                0.03466,                 1.2862,                 1.3083,               0.001208,               0.001208,               0.001208
                     43,                 1.2677,                0.06012,                0.10445,                0.77702,                 1.0289,                0.99602,                 0.6875,                0.84962,                0.49127,                0.99602,                 0.6875,                0.87726,                0.87268,                 1.5846,                0.07841,                 0.0481,                 1.2678,                 1.3176,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.178,                0.05609,                0.07354,                0.74425,                0.99337,                      1,                0.73453,                0.87112,                0.51802,                      1,                0.73453,                0.89013,                0.87637,                 1.5481,                0.08964,                0.06101,                 1.1401,                  1.326,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2755,                0.03899,                0.05129,                  0.724,                0.96275,                0.88007,                   0.75,                 0.8806,                0.49939,                0.88007,                   0.75,                0.88967,                0.85863,                 1.5269,                0.10479,                0.05903,                 1.0564,                 1.3138,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1617,                 0.0484,                 0.0371,                0.82862,                 1.0734,                 0.8436,                   0.75,                0.78737,                0.45482,                 0.8436,                   0.75,                0.86917,                0.83349,                 1.5806,                 0.1134,                0.08444,                  1.162,                 1.3357,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0418,                0.03633,                0.04824,                0.73034,                0.96774,                0.79864,                0.74407,                0.74678,                0.42643,                0.79864,                0.74407,                0.84981,                0.80948,                 1.6754,                 0.1181,                0.08339,                 1.3863,                 1.3734,               0.001109,               0.001109,               0.001109
                     48,                 1.1049,                0.17257,                0.10671,                0.71592,                0.93936,                0.68912,                   0.75,                0.75367,                0.40153,                0.89658,                 0.6875,                 0.8627,                0.82585,                 1.6926,                0.11168,                0.09123,                 1.5223,                 1.3867,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.217,                0.03477,                 0.0347,                0.70794,                0.98072,                0.83033,                0.61259,                0.74738,                0.42807,                 0.9694,                 0.6875,                0.86703,                0.84044,                 1.7009,                0.10705,                0.05323,                 1.4437,                  1.387,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0916,                0.05159,                0.04268,                0.66102,                0.96218,                0.90106,                 0.6875,                0.78292,                0.41704,                0.90106,                 0.6875,                0.85054,                0.81935,                 1.5619,                0.10231,                0.04198,                 1.4023,                  1.274,              0.0010496,              0.0010496,              0.0010496
                     51,                0.94067,                0.03955,                0.06121,                0.62611,                0.94671,                0.78473,                0.68376,                0.76842,                0.46435,                0.76185,                0.80035,                0.81928,                0.78609,                 1.4758,                0.09624,                0.05769,                 1.4517,                 1.2048,              0.0010298,              0.0010298,              0.0010298
                     52,                0.98898,                0.05762,                0.10607,                0.68935,                0.95764,                0.71999,                 0.6875,                0.71287,                 0.4282,                0.78625,                   0.75,                0.81458,                0.76652,                 1.4823,                0.09473,                0.07908,                 1.5734,                 1.2167,                0.00101,                0.00101,                0.00101
                     53,                  1.028,                0.03854,                0.05801,                0.69519,                0.94497,                0.92174,                0.73696,                0.81838,                0.47172,                0.92174,                0.73696,                0.88205,                0.82344,                 1.4961,                0.09045,                0.05366,                 1.3873,                 1.2223,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1134,                0.05029,                0.09794,                0.72922,                 0.9793,                0.92193,                   0.75,                0.82386,                0.44637,                0.92193,                   0.75,                0.88876,                0.84187,                 1.5779,                0.09422,                 0.0345,                 1.3082,                 1.2558,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0771,                0.03679,                0.04095,                0.68281,                0.97056,                 0.7809,                0.66925,                0.76539,                0.40644,                      1,                  0.853,                0.93546,                0.89162,                  1.599,                0.07937,                0.02544,                 1.2473,                 1.2678,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.9115,                0.03166,                0.02771,                0.65323,                0.88986,                0.69805,                   0.75,                0.77131,                0.46288,                0.91867,                  0.875,                0.93847,                0.90156,                 1.5448,                0.07179,                0.01697,                 1.1791,                  1.248,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0071,                0.03177,                0.04516,                0.68452,                0.92111,                0.73696,                   0.75,                0.81538,                0.47349,                0.86014,                  0.875,                0.91819,                0.88939,                 1.5322,                0.06764,                0.01286,                 1.0762,                 1.2881,               0.000911,               0.000911,               0.000911
                     58,                 1.0216,                0.03302,                0.02927,                 0.6468,                0.90248,                 0.6901,                  0.875,                0.72844,                0.42793,                0.86807,                 0.8125,                0.89429,                0.85989,                 1.4465,                0.06233,                0.01218,                 1.0962,                 1.1821,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0368,                0.03377,                0.06321,                 0.6051,                0.95309,                0.69157,                  0.875,                0.74735,                0.42013,                0.86984,                 0.9375,                0.90961,                0.88665,                 1.4357,                   0.08,                0.01571,                 1.1329,                  1.159,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1816,                0.03441,                 0.0723,                0.65631,                0.99056,                0.69316,                  0.875,                0.75807,                0.44286,                0.87652,                 0.9375,                0.91349,                0.89461,                  1.382,                0.08765,                0.01508,                 1.0791,                 1.1388,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0482,                0.04233,                0.04293,                0.64909,                0.92732,                0.71338,                 0.9375,                0.79564,                0.47533,                0.82281,                 0.9375,                0.88844,                0.87367,                 1.2624,                0.07601,                0.01024,                 1.0245,                 1.1045,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.059,                0.02807,                0.03908,                 0.6113,                0.91235,                0.81369,                  0.875,                0.83729,                0.50795,                0.81769,                 0.9375,                0.87727,                0.86121,                 1.2652,                0.06221,                0.00906,                0.99341,                 1.0993,               0.000812,               0.000812,               0.000812
                     63,                 1.0784,                0.02624,                0.02142,                0.66909,                0.94378,                0.77476,                  0.875,                0.84279,                0.50051,                0.81861,                 0.9375,                  0.876,                0.86276,                 1.3276,                0.05442,                0.00859,                0.96705,                 1.1138,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.9286,                0.04591,                0.03218,                0.58726,                0.91269,                0.81416,                 0.8125,                0.85172,                0.47794,                0.86513,                 0.9375,                0.88011,                0.86337,                 1.4224,                0.05331,                0.00917,                 1.0083,                 1.1242,              0.0007724,              0.0007724,              0.0007724
                     65,                0.98983,                0.04363,                 0.0788,                 0.6384,                0.91851,                0.87168,                0.85007,                0.86624,                0.49548,                  0.874,                0.86749,                0.89024,                0.87516,                  1.445,                0.05315,                0.00885,                0.96572,                   1.12,              0.0007526,              0.0007526,              0.0007526
                     66,                0.92242,                 0.0365,                0.04628,                0.58867,                 0.9213,                0.87395,                0.86713,                0.88235,                0.52749,                0.86977,                 0.9375,                0.90334,                0.88622,                 1.3586,                 0.0559,                0.00902,                0.89165,                 1.1049,              0.0007328,              0.0007328,              0.0007328
                     67,                0.89535,                0.04533,                0.08227,                  0.593,                0.95191,                0.93329,                0.87449,                 0.9053,                0.55953,                0.85994,                 0.9375,                0.91761,                0.89823,                 1.3442,                0.05961,                0.00898,                0.85975,                 1.1197,               0.000713,               0.000713,               0.000713
                     68,                0.96095,                0.02932,                 0.0838,                0.62186,                0.93837,                0.90138,                  0.875,                0.91267,                0.56529,                0.92699,                 0.9375,                0.92456,                0.90623,                 1.3446,                0.05479,                0.00905,                0.83258,                  1.132,              0.0006932,              0.0006932,              0.0006932
                     69,                0.91463,                0.02718,                0.03619,                0.56752,                0.87072,                0.79703,                0.98239,                0.89744,                0.55109,                0.87576,                 0.9375,                0.90334,                0.89348,                 1.4029,                0.05292,                0.00919,                0.84431,                 1.1469,              0.0006734,              0.0006734,              0.0006734
                     70,                0.86398,                0.03476,                0.05677,                0.56708,                0.92555,                0.85484,                  0.875,                0.89287,                0.53232,                0.82454,                 0.9375,                0.89716,                0.88855,                 1.4629,                0.05467,                0.00911,                0.86936,                 1.1798,              0.0006536,              0.0006536,              0.0006536
